Date,Time,Lat,Lon,Depth,Mag
1992/12/20, 20:52:47.28,  -6.5820,  130.3930,  77.70,  7.00
1993/01/15, 11:06:05.95,  43.3000,  143.6910, 102.20,  7.10
1993/03/06, 03:05:49.87, -10.9720,  164.1810,  20.40,  7.10
1993/05/24, 23:51:28.24, -22.6710,  -66.5430, 221.00,  7.00
1993/06/08, 13:03:36.48,  51.2180,  157.8290,  70.60,  7.30
1993/07/12, 13:17:11.96,  42.8510,  139.1970,  16.70,  7.60
1993/08/08, 08:34:24.93,  12.9820,  144.8010,  59.30,  8.00
1993/08/09, 12:42:48.19,  36.3790,   70.8680, 214.50,  7.00
1993/08/10, 00:51:53.25, -45.2770,  166.9270,  28.10,  7.00
1993/10/13, 02:06:00.34,  -5.8890,  146.0200,  25.30,  7.00
1993/10/25, 10:27:04.51,  -5.9090,  145.9900,  30.40,  7.00
1993/11/13, 01:18:04.18,  51.9340,  158.6470,  34.00,  7.00
1994/01/21, 02:24:29.96,   1.0150,  127.7330,  19.90,  7.20
1994/02/12, 17:58:23.99, -20.5530,  169.3610,  27.70,  7.10
1994/02/15, 17:07:43.80,  -4.9670,  104.3020,  23.10,  7.00
1994/03/09, 23:28:06.78, -18.0390, -178.4130, 562.50,  7.60
1994/06/02, 18:17:34.02, -10.4770,  112.8350,  18.40,  7.20
1994/06/09, 00:33:16.23, -13.8410,  -67.5530, 631.30,  8.20
1994/06/18, 03:25:15.83, -42.9630,  171.6580,  13.60,  7.10
1994/07/13, 02:35:56.02, -16.6200,  167.5180,  33.00,  7.30
1994/07/21, 18:36:31.74,  42.3400,  132.8650, 471.40,  7.30
1994/09/01, 15:15:53.08,  40.4020, -125.6800,  10.00,  7.00
1994/10/04, 13:22:55.84,  43.7730,  147.3210,  14.00,  8.10
1994/10/09, 07:55:39.58,  43.9050,  147.9160,  33.00,  7.10
1994/11/14, 19:15:30.66,  13.5250,  121.0670,  31.50,  7.10
1994/12/28, 12:19:23.03,  40.5250,  143.4190,  26.50,  7.50
1995/02/05, 22:51:05.14, -37.7590,  178.7520,  21.10,  7.50
1995/03/19, 23:53:14.92,  -4.1830,  135.1090,  33.00,  7.10
1995/04/07, 22:06:56.89, -15.1990, -173.5290,  21.20,  8.00
1995/04/21, 00:30:10.82,  11.9250,  125.5640,  17.40,  7.20
1995/04/21, 00:34:46.09,  12.0590,  125.5800,  20.70,  7.30
1995/05/05, 03:53:45.05,  12.6260,  125.2970,  16.00,  7.00
1995/05/16, 20:12:44.22, -23.0080,  169.9000,  20.20,  7.70
1995/05/27, 13:03:52.65,  52.6290,  142.8270,  11.00,  7.50
1995/07/03, 19:50:50.62, -29.2110, -177.5890,  35.30,  7.20
1995/07/11, 21:46:39.78,  21.9660,   99.1960,  12.50,  7.10
1995/07/30, 05:11:23.63, -23.3400,  -70.2940,  45.60,  7.30
1995/08/16, 10:27:28.63,  -5.7990,  154.1780,  30.10,  7.70
1995/08/16, 23:10:23.98,  -5.7710,  154.3470,  33.00,  7.20
1995/08/23, 07:06:02.76,  18.8560,  145.2180, 594.90,  7.10
1995/09/14, 14:04:31.43,  16.7790,  -98.5970,  23.00,  7.40
1995/10/03, 01:51:23.90,  -2.7500,  -77.8810,  24.40,  7.00
1995/10/09, 15:35:53.91,  19.0550, -104.2050,  33.00,  8.00
1995/10/18, 10:37:26.38,  27.9290,  130.1750,  28.40,  7.10
1995/10/21, 02:38:57.12,  16.8400,  -93.4690, 159.30,  7.20
1995/11/22, 04:15:11.94,  28.8260,   34.7990,  10.00,  7.20
1995/12/03, 18:01:08.99,  44.6630,  149.3000,  33.00,  7.90
1995/12/25, 04:43:24.46,  -6.9030,  129.1510, 141.90,  7.10
1996/01/01, 08:05:10.83,   0.7290,  119.9310,  24.00,  7.90
1996/02/07, 21:36:46.30,  45.3240,  149.8920,  42.60,  7.20
1996/02/17, 05:59:30.55,  -0.8910,  136.9520,  33.00,  8.20
1996/02/21, 12:51:01.30,  -9.5930,  -79.5870,  10.00,  7.50
1996/02/25, 03:08:15.87,  15.9780,  -98.0700,  21.10,  7.10
1996/04/16, 00:30:54.67, -24.0610, -177.0360, 110.90,  7.20
1996/04/29, 14:40:41.09,  -6.5180,  154.9990,  44.00,  7.20
1996/06/02, 02:52:09.55,  10.7970,  -42.2540,  10.00,  7.00
1996/06/10, 04:03:35.48,  51.5640, -177.6320,  33.00,  7.90
